id	accession	raw_id	primary_id	sra_id	bp_id	model	package	package_name	status	status_date	taxonomy_id	taxonomy_name	title	samp_name	paragraph	collection_date	geo_loc_name	host	isolation_source	lat_lon	nitro	phosphate	replicate	samp_collect_device	source_material_id	temp
BIOSAMPLE:SAMN15782482	SAMN15782482	15782482	SAMN15782482	SRS7229734	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.467	408172	marine metagenome	AMT2018_055_meta	AMT2018_055	Station 29	2018-10-09T06:39:00Z	Atlantic Ocean	NA	marine water, oceanic	3.807750 N 25.835800 W	0.000 umol/L	0.000 umol/L		CTD	AMT055	28.430 C
BIOSAMPLE:SAMN15782483	SAMN15782483	15782483	SAMN15782483	SRS7229745	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.480	408172	marine metagenome	AMT2018_057_meta	AMT2018_057	Station 30	2018-10-10T06:46:00Z	Atlantic Ocean	NA	marine water, oceanic	0.001733 N 24.993033 W	0.000 umol/L	0.000 umol/L		CTD	AMT057	26.710 C
BIOSAMPLE:SAMN15782484	SAMN15782484	15782484	SAMN15782484	SRS7229376	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.480	408172	marine metagenome	AMT2018_059_meta	AMT2018_059	Station 31	2018-10-10T15:04:00Z	Atlantic Ocean	NA	marine water, oceanic	1.150417 S 24.982050 W	0.070 umol/L	0.000 umol/L		CTD	AMT059	26.960 C
BIOSAMPLE:SAMN15782485	SAMN15782485	15782485	SAMN15782485	SRS7229387	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.497	408172	marine metagenome	AMT2018_061_meta	AMT2018_061	Station 32	2018-10-11T06:30:00Z	Atlantic Ocean	NA	marine water, oceanic	3.689000 S 24.979533 W	0.000 umol/L	0.000 umol/L		CTD	AMT061	26.510 C
BIOSAMPLE:SAMN15782486	SAMN15782486	15782486	SAMN15782486	SRS7229398	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.513	408172	marine metagenome	AMT2018_063_meta	AMT2018_063	Station 33	2018-10-11T15:02:00Z	Atlantic Ocean	NA	marine water, oceanic	4.984700 S 24.972900 W	0.060 umol/L	0.000 umol/L		CTD	AMT063	26.350 C
BIOSAMPLE:SAMN15782487	SAMN15782487	15782487	SAMN15782487	SRS7229791	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.513	408172	marine metagenome	AMT2018_065_meta	AMT2018_065	Station 34	2018-10-12T06:39:00Z	Atlantic Ocean	NA	marine water, oceanic	7.548567 S 24.958650 W	0.080 umol/L	0.000 umol/L		CTD	AMT065	26.110 C
BIOSAMPLE:SAMN15782488	SAMN15782488	15782488	SAMN15782488	SRS7229803	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.530	408172	marine metagenome	AMT2018_067_meta	AMT2018_067	Station 35	2018-10-12T15:01:00Z	Atlantic Ocean	NA	marine water, oceanic	8.762700 S 24.948133 W	0.000 umol/L	0.000 umol/L		CTD	AMT067	26.070 C
BIOSAMPLE:SAMN15782489	SAMN15782489	15782489	SAMN15782489	SRS7229528	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.530	408172	marine metagenome	AMT2018_069_meta	AMT2018_069	Station 36	2018-10-13T06:25:00Z	Atlantic Ocean	NA	marine water, oceanic	11.261750 S 24.939317 W	0.000 umol/L	0.000 umol/L		CTD	AMT069	25.520 C
BIOSAMPLE:SAMN15782490	SAMN15782490	15782490	SAMN15782490	SRS7229538	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.543	408172	marine metagenome	AMT2018_071_meta	AMT2018_071	Station 37	2018-10-13T12:33:00Z	Atlantic Ocean	NA	marine water, oceanic	12.102467 S 24.928117 W	0.000 umol/L	0.000 umol/L		CTD	AMT071	25.330 C
BIOSAMPLE:SAMN15782491	SAMN15782491	15782491	SAMN15782491	SRS7229762	656268	Metagenome or environmental	Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	live	2021-03-03T18:38:26.560	408172	marine metagenome	AMT2018_073_meta	AMT2018_073	Station 38	2018-10-14T06:35:00Z	Atlantic Ocean	NA	marine water, oceanic	14.778733 S 24.985917 W	0.000 umol/L	0.040 umol/L		CTD	AMT073	23.960 C
